x,y,z
8,8,59.6120643616
8,9,35.3700218201
8,10,-14.824798584
8,11,-41.6782188416
8,12,-62.1644210815
8,13,-64.8335342407
8,14,-65.0488204956
8,15,-63.9612617493
8,16,-62.1352348328
8,17,-61.4893684387
8,18,-56.4478759766
8,19,-54.3309059143
8,20,-55.282371521
8,21,-51.9621887207
8,22,-47.9869651794
8,23,-45.1079063416
8,24,-43.7635765076
8,25,-47.2122688293
8,26,-49.6247406006
8,27,-46.5547981262
8,28,-24.7565631866
8,29,-29.6572589874
8,30,-27.9999084473
8,31,-18.2262840271
8,32,-2.79207897186
8,33,-0.029334269464
8,34,23.6982383728
8,35,85.151222229
8,36,79.5396575928
8,37,92.3784790039
8,38,106.344421387
8,39,92.5286026001
8,40,82.2891159058
8,41,66.8834457397
8,42,53.8742980957
8,43,37.5198020935
8,44,24.637046814
8,45,23.1450252533
8,46,23.4371547699
8,47,35.5571212769
8,48,29.4384841919
8,49,42.9244880676
8,50,38.8338470459
8,51,18.7735557556
8,52,20.3884830475
8,53,18.8736057281
8,54,19.8501300812
8,55,20.5521240234
8,56,22.6879844666
8,57,18.5362167358
8,58,15.9802303314
8,59,14.8884382248
8,60,13.3712730408
8,61,13.2216520309
8,62,15.2674427032
8,63,17.7437362671
8,64,20.0459270477
8,65,23.6195678711
8,66,23.2195224762
8,67,25.0389633179
8,68,24.0282402039
8,69,21.7687892914
8,70,12.1889438629
8,71,9.8153963089
8,72,8.36445331573
8,73,5.74923944473
8,74,5.69403266907
8,75,9.21373939514
8,76,9.46920013428
8,77,15.800198555
8,78,19.6507015228
8,79,12.9004116058
8,80,26.9261684418
8,81,24.7801246643
8,82,35.0029029846
8,83,31.8496723175
8,84,46.4087677002
8,85,58.8076705933
8,86,43.2415962219
8,87,8.55642223358
8,88,2.28239274025
8,89,1.17549435082e-38
8,90,1.17549435082e-38
8,91,1.17549435082e-38
8,92,7.31435198904e-39
8,93,0
8,94,0
8,95,0
9,0,110.579498291
9,1,172.817382812
9,2,121.069190979
9,3,160.419891357
9,4,197.186645508
9,5,152.967895508
9,6,125.002105713
9,7,112.754447937
9,8,66.07447052
9,9,6.06026697159
9,10,-6.94752931595
9,11,-36.1974639893
9,12,-60.3717651367
9,13,-73.8996124268
9,14,-69.8365936279
9,15,-67.2581481934
9,16,-64.0101776123
9,17,-62.0257720947
9,18,-59.4954452515
9,19,-55.3236541748
9,20,-55.004234314
9,21,-49.8650131226
9,22,-45.5656585693
9,23,-43.0980796814
9,24,-43.2466316223
9,25,-45.1698570251
9,26,-42.9556159973
9,27,-34.3899383545
9,28,-21.6116542816
9,29,-36.1915435791
9,30,-27.3105278015
9,31,-15.5679712296
9,32,-2.40859532356
9,33,-0.0229667890817
9,34,67.3744888306
9,35,90.9076385498
9,36,87.760597229
9,37,110.673805237
9,38,108.10987854
9,39,95.4188156128
9,40,84.6069717407
9,41,75.8664779663
9,42,59.7252693176
9,43,46.6437606812
9,44,34.1690177917
9,45,27.1891269684
9,46,24.6506500244
9,47,18.6834526062
9,48,25.4891052246
9,49,47.2627868652
9,50,24.8882331848
9,51,28.4077301025
9,52,23.2281341553
9,53,22.7910251617
9,54,22.5384216309
9,55,23.4828681946
9,56,26.0220413208
9,57,26.301820755
