id,lon,lat,streets,alt
880824,-122.45489,37.7314444,Hazelwood & Monterey,127.8910217
63639,-122.474686,37.774877,Cabrillo & 16th,57.91966629
63638,-122.474821,37.776742,Balboa & 16th,62.78059769
55965,-122.4035259,37.7481267,Bayshore & Marin,6.592581272
104631,-122.3650564,37.8101984,San Francisco – Oakland Bay Bridge,87.41746521
64622,-122.435157,37.718508,France & Madrid,99.48060608
64623,-122.434354,37.718125,France & Edinburgh,88.69543457
64624,-122.433555,37.717744,France & Naples,86.36949921
1408291,-122.3926702,37.7685602,Gene Friend & Merrimac,3.720104456
898020,-122.4634196,37.7115283,Alemany,78.96129608
74276,-122.444872,37.76051,Deming,115.6927872
62184,-122.3895065,37.7604386,20th & Tennessee,15.98009682
62183,-122.389733,37.762986,Tennessee & 18th,8.108785629
62185,-122.389248,37.757884,22nd & Tennessee,11.50331783
238993,-122.4168346,37.8048331,Columbus & Jones,7.324604988
238992,-122.4168498,37.8049776,Columbus & Jones,7.175636768
70526,-122.424585,37.7761967,Octavia & Linden,20.61650276
74807,-122.4777921,37.7991818,Washington & Kobbe,90.12888336
56395,-122.468024,37.773304,10th & Fulton & 10th,70.28010559
56396,-122.469092,37.773257,11th & Fulton,69.70845795
223566,-122.5031409,37.7305576,Zoo,14.57465267
68890,-122.435302,37.796158,Green & Fillmore,42.73949051
68888,-122.428725,37.796992,Green & Octavia,33.3882103
68887,-122.425437,37.797408,Green & Franklin,30.26072502
68886,-122.4238693,37.7976138,Green & Van Ness,34.72127533
68885,-122.4205011,37.7980473,Larkin & Green,60.90869141
57671,-122.428473,37.77906,Buchanan & McAllister,27.56544495
57673,-122.428956,37.781429,Buchanan & Larch,32.69020844
57674,-122.429041,37.781847,Eddy & Buchanan,34.49919891
1171176,-122.4182761,37.7481015,Mission & Cesar Chavez,26.87687874
56254,-122.3927581,37.7491022,Southern Embarcadero & John F Foran,3.863106012
72329,-122.4746262,37.7882551,North 15th,55.57759094
62062,-122.4157736,37.799616,Jones & Union,66.55393219
59876,-122.4459205,37.7631799,Upper Terrace,159.97258
56017,-122.4570085,37.7102548,San Jose,94.06531525
60494,-122.4085197,37.7315601,Goettingen & Silver,28.22149658
60493,-122.408914,37.7314381,Merrill & Silver,29.2413044
60495,-122.4075434,37.731856,Brussels & Silver,24.45131683
63180,-122.4127826,37.7703955,Norfolk & Harrison,5.175442696
58106,-122.3895844,37.7729294,Mission Rock & 3rd,2.707045794
445370,-122.3988565,37.7154493,Bayshore,48.5504837
58401,-122.4131379,37.765446,Treat & 16th & Harrison,1.737667441
457393,-122.4054322,37.7981152,Peter Macchiarini Steps,21.06237793
64792,-122.4581592,37.7257204,Miramar & Eastwood,88.77980804
877745,-122.4087107,37.7835088,Turk & Market,10.69526482
238349,-122.4440366,37.7475697,Portola,186.6683197
65041,-122.424926,37.726323,Athens & Peru,120.4589844
531415,-122.484023,37.727047,Lake Merced BIke Path & Lake Merced,24.89533043
70275,-122.473321,37.787193,14th,48.44721985
69582,-122.4598506,37.7438181,Edgehill & Garcia,172.5410461
72772,-122.413053,37.731452,Sweeny & Bowdoin,33.97134018
72771,-122.4132695,37.7320802,Gaven & Bowdoin,23.12279511
667016,-122.4185516,37.70964,Pasadena,29.58379364
76071,-122.4102852,37.8036593,Fielding,25.46156502
198446,-122.4632264,37.7256387,Ingleside Path & Ocean,79.30028534
59187,-122.4121068,37.7981631,Vallejo & Mason,49.46411514
59188,-122.41283,37.798075,Alta Vista Terrace & Vallejo,59.3743248
1195700,-122.4841799,37.7083164,Lake Merced Hills Community Center Access Stairs,11.94589138
1195699,-122.4837132,37.7084437,Lake Merced Hills Community Center Access Stairs,24.87887764
65758,-122.4036662,37.7660239,Kansas & 16th,6.18864584
144328,-122.451116,37.7819183,Blake & Geary,74.00550079
144326,-122.4500861,37.7820512,Geary & Collins,78.24526978
144327,-122.4541459,37.7815452,Geary & Parker,68.255867
70520,-122.428159,37.794187,Pacific & Octavia,69.98790741
70519,-122.4278738,37.7924237,Washington & Octavia,104.571167
61077,-122.499591,37.777482,Anza & 39th,65.01642609
62960,-122.4652813,37.7253322,De Soto & Urbano,72.57888794
67392,-122.4506633,37.7895232,Laurel & Washington,81.0046463
67393,-122.4504933,37.788647,Laurel & Clay,93.17300415
63304,-122.4131983,37.7790094,Stevenson & Angelo's,13.44262981
65024,-122.448503,37.8049814,Mason & Allen,4.882948399
404299,-122.4799126,37.7170006,Bucareli,44.40509033
236228,-122.4462339,37.7087417,Roemer,106.4495087
235208,-122.4240961,37.7414969,Dolores,48.10074615
141593,-122.503078,37.7245424,Great Highway & Skyline,14.88601589
63937,-122.4774148,37.7523267,20th & Ortega,120.530983
63936,-122.4752729,37.7524241,Ortega & 18th,125.3745041
63935,-122.474741,37.752448,Ortega & Anglo,128.8288574
63934,-122.474205,37.752472,Ortega & 17th,133.7075653
60032,-122.4519917,37.7121052,Farragut & Alemany,80.01472473
62977,-122.3896839,37.7799297,King & 2nd,3.490774155
57600,-122.403022,37.729902,Quint & Bayshore,20.98774529
835660,-122.4519297,37.761338,Stanyan & Greenbelt Trail,114.9281998
64285,-122.4818752,37.7324333,26th & Ocean,49.07417679
55036,-122.38381,37.726171,Hawes & Thomas,5.734310627
55035,-122.383248,37.726798,Hawes & Shafter,6.169661999
55034,-122.382687,37.727425,Hawes & Revere,6.498493195
55033,-122.382126,37.728051,Hawes & Quesada,8.501160622
64284,-122.4820261,37.7345151,26th & Sloat,53.30757141
55032,-122.381564,37.728678,Hawes & Palou,14.00391769
68091,-122.4695739,37.7488938,Funston & Quintara,207.6632233
