,,,,,,,,maxg,,,
005-02,f,Francine,DAERDEN,Daerden,VEC,1665,0.0535766,1665,VEC,FALSE,JoÎl Giraud
005-02,f,Monique,PERRIN CZEKALSKI,Perrin Czekalski,ECO,254,0.008173247,1665,VEC,FALSE,JoÎl Giraud
005-02,f,Catherine,GUIGLI,Guigli,FG,1674,0.053866203,1665,VEC,TRUE,JoÎl Giraud
006-01,,,,,inscrits,82287,1,0,0,FALSE,Patrick Allemand
006-01,,,,,abstentions,36276,0.440847278,0,0,FALSE,Patrick Allemand
006-01,,,,,blanc,509,0.006185667,0,0,FALSE,Patrick Allemand
006-01,m,Jean-Marc,GOVERNATORI,Governatori,ECO,324,0.007120566,0,0,FALSE,Patrick Allemand
006-01,f,Maryse,ULLMANN,Ullmann,ECO,498,0.010944574,0,0,FALSE,Patrick Allemand
006-01,m,Pierre,ARGENTIERI,Argentieri,DVD,503,0.011054459,0,0,FALSE,Patrick Allemand
006-01,m,Jean-Pierre,GASTAUD,Gastaud,AUT,16,0.000351633,0,0,FALSE,Patrick Allemand
006-01,m,Christophe,RICERCHI,Ricerchi,EXG,135,0.002966903,0,0,FALSE,Patrick Allemand
006-01,m,Eric,CIOTTI,Ciotti,UMP,19971,0.438903784,0,0,FALSE,Patrick Allemand
006-01,m,Jean-Paul,BELHADI,Belhadi,DVD,239,0.005252516,0,0,FALSE,Patrick Allemand
006-01,m,LoÔc,FORTUIT,Fortuit,EXG,303,0.006659048,0,0,FALSE,Patrick Allemand
006-01,m,Jacques,PEYRAT,Peyrat,EXD,7351,0.161553338,0,0,FALSE,Patrick Allemand
006-01,f,Alix,HORSCH FILIPPI,Horsch Filippi,REG,82,0.001802119,82,REG,FALSE,Patrick Allemand
006-01,f,AgnËs,BENKEMOUN,Benkemoun,EXG,86,0.001890027,82,REG,FALSE,Patrick Allemand
006-01,m,Robert,INJEY,Injey,FG,2083,0.045778208,82,REG,FALSE,Patrick Allemand
006-01,m,Patrick,ALLEMAND,Allemand,SOC,13048,0.286756626,13048,SOC,FALSE,Patrick Allemand
006-01,m,Michel,COTTA,Cotta,EXD,214,0.00470309,13048,SOC,FALSE,Patrick Allemand
006-01,m,Christian,RAZEAU,Razeau,CEN,649,0.014263109,13048,SOC,TRUE,Patrick Allemand
